close,high,low,open,volumefrom,volumeto
417.22,420.87,363.13,363.82,175686.09,67773673.63
451.91,523.08,400.41,416.77,572432.17,259090603.37
444.93,482.58,416.06,451.91,193899.08,87034115.9
435.48,456.3,426.3,444.93,98339.43,43638797.69
529.88,546.11,434.45,435.48,249273.2,122331291.42
562.79,593.68,492.39,530.24,314670.88,170606048.18
626.04,686.21,558.53,563.21,331298.66,212978833.44
614.26,641.55,563.07,626.02,224020.94,136414146.92
625.72,637.29,570.83,614.26,147005.72,88707513.0
588.68,656.75,588.18,625.72,160442.93,99875447.46
603.26,617.44,584.38,588.55,72283.97,43387451.36
617.41,644.2,522.79,603.17,213140.03,129168410.93
650.09,675.39,612.32,617.0,138517.84,88271349.36
995.4,1029.27,647.39,650.09,668162.3,562027429.83
1325.56,1414.14,897.92,989.87,350109.81,404695851.15
1374.39,2694.37,1187.01,1325.56,544972.02,877406443.96
1346.96,1515.47,1012.22,1369.5,288010.82,361634817.91
1251.63,1374.76,1186.56,1346.96,129369.96,165309100.46
1187.03,1318.8,1164.95,1251.62,108532.62,135275562.63
896.51,1193.4,873.44,1185.84,196969.98,203434765.52
1175.54,1209.41,856.95,897.76,229956.38,246137619.18
1243.86,1371.18,1174.86,1177.05,186220.18,237178090.81
1176.66,1257.17,1132.28,1242.89,96217.99,114092155.08
1245.28,1252.75,1170.82,1177.07,63055.0,75604482.13
1169.9,1247.73,1146.25,1245.28,73911.91,87834756.56
1298.62,1346.06,1164.3,1169.9,106768.91,135737842.08
1662.21,1663.3,1293.66,1297.83,201412.14,301664725.36
1625.05,1765.76,1529.13,1662.4,159800.54,265161800.14
1546.22,1635.9,1517.64,1625.05,106475.37,168521398.64
1719.36,1729.0,1528.69,1546.46,45358.13,73523501.34
1587.66,1720.27,1557.31,1718.73,99369.0,162585449.5
1481.93,1592.39,1469.1,1587.58,97309.59,149808661.02
1333.15,1627.86,1277.59,1481.92,178364.5,262656502.72
1318.42,1415.75,1174.84,1333.52,116177.53,150181384.27
1426.5,1451.12,1243.5,1318.42,94281.57,128160246.64
1390.58,1464.77,1371.13,1426.57,46212.49,65529684.57
1511.46,1621.91,1378.47,1390.92,110384.17,170307885.53
1540.7,1543.78,1438.56,1511.37,61047.95,91600694.31
1421.42,1581.8,1410.56,1540.64,76294.69,113943413.18
1349.75,1461.22,1309.53,1421.41,92022.37,129572220.35
1230.0,1363.09,1217.38,1349.74,123812.84,156825923.82
1383.3,1560.71,1137.42,1229.9,203852.98,281476871.56
1369.36,1466.48,1305.28,1383.33,83939.26,116894421.1
1289.78,1369.53,1186.48,1369.53,80859.32,103219889.01
1402.18,1429.02,1288.39,1289.42,70404.27,96857495.59
1543.45,1601.28,1330.78,1402.35,108785.79,162733015.51
1572.91,1664.79,1444.1,1544.92,125131.91,194831180.86
1933.27,2053.26,1561.3,1572.91,220803.74,409667501.78
1795.31,1939.79,1630.62,1933.27,109849.42,191047439.84
1773.75,1864.87,1733.98,1797.03,62028.65,110491376.74
1827.41,1904.01,1773.1,1773.75,60356.9,110593944.27
2146.79,2311.36,1750.39,1827.41,203611.05,418792732.06
2670.97,2827.39,2075.48,2146.46,272005.86,651099368.75
3715.91,4112.39,2665.55,2670.97,545546.68,1915071070.77
3084.09,3717.55,2857.3,3715.91,242943.03,787854447.7
2521.46,3163.97,1716.84,3084.09,397962.38,959174529.93
2991.57,3249.32,2466.89,2521.45,189040.5,562467930.34
2797.92,2997.03,2463.15,2991.58,164197.45,439830450.44
2739.94,2883.55,2600.42,2797.92,67929.79,187864797.77
2921.84,2929.03,2720.99,2739.94,64768.32,182771250.32
2710.64,2924.47,2568.85,2921.89,58588.61,161281901.39
2484.96,2727.03,2291.94,2710.64,79023.66,193654890.44
2619.32,2884.96,2311.24,2486.54,107608.19,279681307.4
2209.96,2634.36,2103.91,2622.42,95886.67,221420859.69
2371.83,2485.77,2165.12,2210.18,55810.75,131177357.02
2319.12,2413.01,2258.29,2371.83,34566.74,80872345.44
2555.49,2719.88,2314.12,2319.12,85541.57,213749238.32
2557.52,2776.56,2517.54,2555.49,65561.81,170977759.75
2355.78,2558.9,2315.7,2556.37,69356.28,167327220.48
2390.04,2523.51,2306.49,2355.68,78812.67,188339076.32
2533.24,2639.55,2326.08,2390.04,76198.33,189153648.98
2530.44,2760.35,2492.92,2533.24,77755.49,203905526.98
2404.74,2572.13,2207.35,2530.5,71860.87,173810008.85
2376.68,2489.58,2319.19,2404.74,49307.69,118646869.3
2856.93,2944.89,2291.94,2376.68,164422.06,428980394.88
2437.92,2952.68,2341.77,2856.94,144720.16,370363445.96
2596.2,2628.15,2372.67,2437.92,58436.46,147982320.1
2664.9,2869.38,2561.7,2596.21,68076.41,183442789.42
2530.21,2728.55,2441.03,2664.98,44514.4,114182801.74
2394.05,2558.33,2352.1,2530.59,50762.57,124413534.2
1761.61,2411.97,1525.13,2394.02,211689.81,413640550.4
1748.8,1903.53,1342.05,1760.95,168430.05,275433374.11
1708.87,1881.06,1681.82,1748.8,77029.25,138733377.09
1756.72,1853.19,1693.94,1708.87,46793.43,82814184.28
2024.32,2114.15,1753.95,1756.72,76878.11,150204592.86
1772.37,2025.18,1709.25,2024.32,64013.53,116810397.92
1606.05,1805.85,1509.89,1772.37,68392.84,111361124.15
1614.46,1692.62,1490.35,1606.05,55456.28,88416102.82
1653.46,1676.53,1558.92,1614.46,39267.99,63619330.87
1632.11,1699.85,1601.02,1653.46,31327.58,51824161.08
1594.67,1672.5,1485.56,1631.96,52474.44,82441054.63
1632.08,1664.05,1559.98,1594.67,30365.61,49189009.08
1742.54,1755.53,1631.94,1632.08,57954.17,98711706.94
1650.36,1753.53,1630.34,1742.54,29214.55,49086467.06
1462.99,1653.4,1451.79,1650.33,56836.85,87724135.57
1487.18,1519.81,1397.98,1462.94,48581.92,71084957.65
1267.99,1497.56,1205.35,1487.18,82606.34,109869806.02
1192.13,1269.81,968.68,1267.99,125569.3,143714769.61
1273.08,1318.52,1066.83,1192.13,55292.57,66300292.5
1158.57,1289.48,1091.24,1273.33,56805.55,66945106.18
884.0,1175.17,827.38,1158.63,110686.53,106539840.76
966.79,977.59,758.43,884.28,171195.13,148384673.61
954.34,1035.92,896.52,966.87,81874.09,79923338.86
1280.55,1355.15,947.53,954.81,175942.65,214474236.99
1299.97,1338.29,1191.77,1280.55,90046.46,114267322.89
1240.62,1381.63,1198.68,1299.97,73317.51,93963908.26
1210.99,1298.3,1188.47,1240.54,54895.1,67332282.15
1282.63,1293.05,1208.89,1211.03,31886.53,40345803.75
1220.89,1285.27,1200.31,1282.05,36215.01,44591425.59
1353.18,1376.41,1220.51,1220.75,60999.91,79707919.34
1359.47,1392.66,1310.22,1353.19,60927.45,82442472.88
1530.44,1547.53,1355.45,1359.47,93378.64,138109049.14
1543.21,1553.42,1502.28,1530.42,41821.44,63990375.61
1453.37,1635.6,1395.59,1543.21,75060.95,114117616.17
1521.92,1543.78,1452.28,1453.2,35499.42,53611463.67
1393.77,1553.99,1382.59,1521.88,59324.36,88749089.63
1287.06,1407.46,1269.28,1393.76,77156.39,103151392.56
1210.0,1341.78,1178.29,1287.03,55340.84,68674973.89
1256.52,1314.1,1148.95,1209.98,55199.9,68204427.7
1182.03,1299.76,1136.36,1256.73,41958.11,50410015.34
1172.58,1203.52,1137.12,1182.03,30581.37,35860331.02
1244.42,1271.04,1142.92,1172.58,42834.66,52096798.0
1234.2,1295.46,1218.79,1244.42,34672.53,43526909.53
1200.33,1275.66,1198.75,1234.17,29735.14,36633612.32
1285.01,1303.12,1189.7,1200.33,39078.61,49698398.88
1276.64,1303.38,1254.94,1284.9,26693.95,34180148.43
1272.26,1298.19,1258.2,1276.64,18584.98,23806066.61
1285.24,1291.25,1224.25,1272.26,19411.74,24322755.34
1266.93,1291.84,1265.93,1285.24,17016.34,21796123.43
