close,high,low,open,volumefrom,volumeto
0.5339,0.5409,0.5165,0.5218,4099844.69,2171490.01
0.6668,0.6793,0.5327,0.5336,13487478.35,8282721.68
0.7125,0.747,0.6409,0.6671,12955794.25,9021667.54
0.7826,0.7826,0.6676,0.7125,9582555.18,6841174.51
1.05,1.33,0.7522,0.7822,36964539.75,35716244.25
1.11,1.3,0.916,1.05,31135053.4,34049392.94
1.2,1.42,1.06,1.11,25001835.96,31281541.72
1.11,1.3,1.04,1.2,17267343.83,20190363.92
1.09,1.18,0.973,1.11,14199958.28,15041656.12
0.9124,1.09,0.9015,1.09,13596521.91,13562909.56
0.9518,0.9937,0.9107,0.9123,7738637.44,7388368.45
1.12,1.19,0.9434,0.9517,16679289.17,18144083.77
1.18,1.21,1.12,1.12,9167694.71,10712325.57
1.03,1.19,0.9844,1.18,10244964.77,11005764.55
1.16,1.19,1.0,1.03,9159475.95,10015980.14
1.09,1.19,1.02,1.16,8394417.53,9319549.91
1.18,1.19,1.08,1.09,6537330.25,7492603.26
1.68,1.69,1.18,1.18,21057867.09,31284841.35
1.67,1.73,1.51,1.68,15995802.57,25979233.82
1.67,1.87,1.56,1.67,16955963.51,29287595.29
1.74,1.82,1.58,1.67,11992099.94,20311991.16
1.92,1.99,1.65,1.74,11773271.49,21390803.43
1.88,2.06,1.75,1.91,11153672.69,21388039.1
1.99,2.05,1.83,1.88,9783694.84,19143342.43
1.91,2.12,1.84,1.99,12239367.55,23733914.02
1.89,1.99,1.76,1.91,9506691.51,17831198.41
1.88,1.98,1.85,1.89,7925618.56,15119870.32
1.88,1.91,1.71,1.88,7303428.15,13361558.47
2.05,2.07,1.78,1.88,7995090.83,15220203.42
2.46,2.71,1.93,2.05,1529705.62,3390936.39
2.86,2.96,2.35,2.46,13658945.84,36932451.4
2.76,3.06,2.71,2.86,11523237.31,33310024.44
2.71,3.36,2.48,2.76,14501126.12,41887552.21
2.84,2.98,2.44,2.71,11217226.6,30681545.65
3.22,3.25,2.69,2.84,7731310.56,22754467.18
3.91,3.98,3.16,3.22,12157858.98,43225605.83
3.58,4.12,3.4,3.91,9757224.32,37420561.59
4.04,4.2,3.41,3.58,10818305.23,41289807.11
4.19,4.57,3.65,4.04,16903094.58,69064180.17
4.47,5.12,4.16,4.19,14904676.51,68301459.18
3.89,4.47,3.28,4.47,15263393.03,59402340.63
4.22,4.5,3.53,3.89,9747608.94,39526763.69
3.98,4.63,3.68,4.22,9549082.85,39182987.65
3.67,4.01,3.4,3.98,7209159.5,26372941.65
4.39,4.48,3.65,3.67,10703236.52,44205898.48
5.08,5.88,4.23,4.39,14003648.21,69445612.68
7.28,7.28,4.69,5.08,33584621.51,208583796.48
8.2,8.7,7.04,7.28,22315609.69,175990593.97
7.93,8.36,6.52,8.2,15244024.52,114730452.82
8.35,9.29,7.89,7.93,11967893.44,103287522.15
7.97,8.99,7.81,8.35,7915233.66,65294868.06
8.88,8.97,7.22,7.97,10794400.05,87399002.01
11.49,12.49,8.65,8.88,29239967.21,308476717.31
10.44,11.7,9.69,11.49,9395415.61,100087015.98
10.64,11.85,9.71,10.45,9522150.21,102539472.6
7.69,10.66,3.14,10.65,30796008.07,233409143.81
8.26,9.25,7.48,7.69,8592167.87,73949389.9
7.99,8.42,6.71,8.26,6796919.66,51606674.53
8.15,8.83,7.62,7.99,3727887.94,30585091.05
8.6,8.71,8.05,8.15,4766304.19,39825469.76
8.72,9.41,8.06,8.6,5228997.52,45882343.74
8.1,8.76,7.26,8.72,4746439.34,37397942.8
8.12,8.73,7.9,8.1,3977974.07,33063363.07
7.08,8.19,6.52,8.12,5483898.78,39561494.38
7.69,7.82,7.0,7.08,2386645.58,17720129.43
7.64,7.95,7.2,7.69,2129554.08,16182124.81
8.3,8.6,7.63,7.64,4643760.32,37943548.37
9.43,9.43,7.84,8.3,4364385.03,36750566.6
9.47,10.49,9.15,9.43,7078127.9,68944379.74
9.29,9.85,8.51,9.47,4358645.81,39367702.71
9.83,9.9,8.73,9.29,3087102.87,29054146.06
10.16,10.89,9.76,9.83,3815149.8,38918502.73
9.6,10.39,8.14,10.16,4984929.56,46591820.4
9.23,9.74,8.8,9.6,2231540.79,20872868.4
11.2,11.49,8.37,9.23,8396833.07,86012294.9
11.27,12.46,8.91,11.2,10763365.92,115951605.7
13.8,15.24,10.57,11.27,13168939.99,175879710.07
16.0,18.67,13.43,13.8,17913873.5,294136188.45
13.23,16.13,12.9,16.0,6923820.5,98670786.6
12.78,14.7,12.68,13.23,4506690.85,61599316.88
10.0,12.98,8.31,12.78,14956533.32,158929640.74
10.15,10.56,7.5,10.0,11452035.78,103387986.52
10.18,11.47,9.65,10.15,5758551.42,60490149.99
11.07,11.43,9.74,10.18,4594984.27,48673168.94
15.53,15.75,11.04,11.07,10533428.4,144827267.67
13.47,15.57,12.0,15.51,11122430.25,149233104.28
13.38,15.14,12.45,13.47,11888558.67,162529908.43
12.88,13.92,11.6,13.38,9131139.77,117889152.87
13.9,13.97,12.51,12.88,4406319.42,58178915.62
14.25,15.09,13.47,13.9,6366632.51,90728372.99
14.24,14.8,12.81,14.25,5408892.14,74893464.87
14.38,14.74,13.86,14.24,2692772.16,38578052.18
14.75,14.97,14.09,14.38,3230702.66,46763405.28
13.54,14.85,13.3,14.75,3449065.86,47827947.18
11.35,13.6,10.87,13.54,8227358.36,99688763.26
11.98,12.25,10.31,11.36,5621230.02,63633373.23
10.03,12.17,9.75,11.98,8128306.47,85914653.99
10.23,11.09,8.41,10.03,11147711.76,106403040.92
10.64,11.25,9.15,10.23,4903735.04,50876511.6
8.89,10.85,8.38,10.64,5228214.64,49886702.28
7.06,9.3,6.82,8.89,9253162.94,72469479.31
8.29,8.47,5.8,7.06,11770911.21,81791456.01
7.67,8.97,7.38,8.29,6916911.37,56898859.72
8.31,8.79,7.64,7.67,4976168.2,41479525.75
9.48,9.61,7.93,8.31,4514893.67,39613927.91
8.9,9.9,8.4,9.48,4125667.92,37909871.52
8.33,8.92,7.96,8.9,2999634.14,25248958.01
9.13,9.35,8.33,8.33,3876654.76,34662763.96
8.94,9.2,8.54,9.13,2693248.34,23890849.49
9.85,9.92,8.94,8.94,4074929.54,38404990.7
9.84,10.12,9.45,9.85,3723932.27,36626120.76
9.84,9.95,9.34,9.84,2898713.96,27955640.04
10.02,10.06,9.73,9.84,2808548.27,27896156.77
9.06,10.05,8.9,10.02,4140035.75,39063214.68
9.49,9.65,9.02,9.06,2536893.08,23899754.14
8.88,9.8,8.78,9.49,3065821.78,28805936.68
8.34,8.93,8.09,8.88,3557024.73,30234547.79
7.78,8.65,7.58,8.34,4507176.61,35995904.22
8.26,8.53,7.61,7.78,3610862.44,29409230.26
7.9,8.46,7.62,8.26,3069105.28,24487295.1
7.69,7.96,7.47,7.9,2637594.33,20366252.27
7.99,8.33,7.39,7.69,3946327.62,30728075.82
8.39,8.83,7.86,7.99,3827130.88,32077140.41
8.19,9.13,8.17,8.39,2944520.19,25382716.41
8.55,8.57,8.09,8.19,2072049.29,17311442.45
8.02,8.7,7.92,8.55,2393158.3,19563191.3
7.92,8.28,7.87,8.02,1416121.53,11394964.29
8.15,8.16,7.74,7.92,2010733.32,15892301.89
7.95,8.29,7.94,8.15,1535929.97,12477673.7
7.13,7.95,7.02,7.95,4108704.06,30257108.8
6.43,7.29,5.95,7.13,9200041.05,60872863.62
6.1,6.7,5.88,6.43,4967679.82,31117578.15
6.02,6.18,5.21,6.1,9714270.53,54802035.63
5.64,6.45,5.61,6.02,5769808.0,34772317.71
6.04,6.2,5.41,5.64,4639443.94,26935027.41
5.72,6.18,5.58,6.04,4058232.17,23819476.76
5.79,5.94,5.54,5.72,3834948.11,22139945.27
5.28,6.03,5.16,5.79,4218424.9,22907530.7
5.12,5.33,4.79,5.28,7327166.38,37002691.75
5.04,5.32,4.86,5.12,3899113.95,19975948.01
4.63,5.09,4.53,5.04,3740617.74,18106075.67
4.62,4.77,3.89,4.63,11441781.94,49194100.38
6.18,6.26,4.52,4.62,15003182.41,77909968.02
5.93,6.35,5.34,6.18,14304199.83,84203796.73
6.9,7.28,5.84,5.93,13905314.0,89502747.28
6.89,7.25,6.14,6.9,14307930.08,96445849.18
6.94,7.07,6.22,6.89,12384697.29,82632857.83
6.51,7.08,6.48,6.94,6153071.79,42126043.73
6.43,6.67,6.37,6.51,3853413.78,25159269.81
5.78,6.51,5.26,6.43,15561842.78,89497826.59
5.8,6.52,5.18,5.78,18832431.59,109861151.91
6.2,6.5,5.62,5.8,8068603.63,49373112.57
5.88,6.29,5.75,6.2,11640925.68,69581065.49
6.01,6.18,5.7,5.88,10157033.8,60017503.51
5.93,6.16,5.86,6.01,4065109.78,24496899.27
5.6,5.99,5.12,5.93,8789092.42,48725464.24
5.82,5.9,5.5,5.6,4857511.92,27703153.86
6.02,6.15,5.74,5.82,4415876.8,26234452.76
5.67,6.07,5.5,6.02,4037485.67,23165677.78
6.33,6.41,5.41,5.67,8714599.22,51809541.01
5.84,6.38,5.67,6.33,8877920.3,52669141.86
5.9,6.01,5.78,5.84,2546048.75,15067894.52
5.98,6.02,5.84,5.9,2068643.28,12273126.11
5.86,6.09,5.75,5.98,3893243.82,22941517.6
6.0,6.08,5.75,5.86,3483406.81,20718978.25
8.52,8.9,5.97,6.0,29057229.38,217616413.57
8.83,9.28,7.86,8.52,27002197.97,234863030.83
8.82,9.57,8.6,8.83,14863149.91,135286684.31
8.71,9.23,8.11,8.82,9526593.12,81661653.57
8.53,8.81,7.81,8.71,9620592.44,80533722.5
8.12,8.53,7.81,8.53,7557276.59,61235004.13
8.5,9.1,8.09,8.12,9651903.21,83929179.7
9.04,9.23,8.45,8.5,7043747.86,62447868.17
9.48,9.48,8.9,9.04,6886788.51,63223176.37
11.45,11.7,9.46,9.48,19629991.97,207249542.48
11.14,11.63,10.22,11.45,11782970.13,128491247.09
11.3,11.88,10.75,11.14,11155845.08,127952499.95
11.62,12.03,11.23,11.3,8082528.47,93683579.38
15.11,16.14,11.61,11.62,32307325.5,451361989.69
14.46,15.52,13.37,15.11,28744656.57,414467803.86
15.44,15.59,13.85,14.46,12279671.96,180832731.13
16.61,17.9,14.77,15.44,16356855.08,268945990.98
18.78,19.49,16.44,16.61,18232718.88,336795670.37
21.41,23.02,18.74,18.78,25911403.23,535736275.69
17.46,21.64,16.52,21.41,26020638.36,475578188.19
18.74,19.03,15.92,17.46,19652129.0,337742031.62
19.23,19.62,18.18,18.74,12953705.12,243458284.88
17.67,19.35,16.86,19.23,13481970.2,241714019.61
17.05,18.04,16.24,17.67,8573947.52,146875689.53
17.77,18.65,17.02,17.05,7319425.67,132491229.59
17.39,17.99,16.55,17.77,7649620.87,132244229.86
