close,high,low,open,volumefrom,volumeto
293.35,297.05,291.11,296.37,142578.77,41932396.96
304.04,311.3,292.06,293.33,353324.1,107293933.23
306.8,311.94,303.58,304.04,186091.57,57189166.5
303.64,310.86,303.4,306.8,214194.38,65784953.81
289.42,304.77,288.5,303.63,406127.88,121046164.14
284.92,293.03,276.89,289.42,702319.19,200255173.09
304.51,307.14,284.85,284.92,487772.27,144510264.39
300.04,304.65,294.05,304.51,277052.73,82749431.95
296.23,300.65,294.06,300.0,214091.55,63667315.96
296.82,306.8,292.26,296.22,376470.44,112601694.96
291.84,303.76,287.45,296.82,530096.77,155572238.28
307.35,319.2,290.55,291.84,800725.7,245218193.52
319.66,329.21,305.84,307.35,650266.17,207473774.31
296.86,324.22,288.96,319.67,793302.54,242321395.52
314.23,320.05,296.26,296.86,531431.95,163117794.2
306.02,317.22,297.48,314.23,877312.34,269198764.73
314.6,318.58,305.35,306.02,558443.0,174789178.94
334.72,337.15,314.45,314.6,785305.62,256426287.76
331.2,345.18,324.88,334.72,514478.63,171713343.53
330.32,334.85,321.9,331.2,479983.53,157426941.16
331.72,334.55,325.83,330.32,378014.46,124992568.47
346.65,349.46,326.83,331.72,421354.76,141724984.0
354.6,371.32,343.89,346.65,633880.58,225946121.64
367.71,372.82,354.28,354.67,461611.79,167626773.14
360.52,372.87,351.41,367.71,693590.17,251898109.93
380.84,381.61,359.97,360.52,445622.07,164317320.01
406.57,424.92,375.44,380.83,1028925.9,414164352.05
470.43,478.38,400.18,406.51,908488.94,394452948.4
464.61,483.38,457.41,470.4,642619.77,301212841.34
470.54,471.5,451.12,464.55,376521.85,172973289.85
475.24,489.43,462.47,470.45,672619.99,319587125.58
466.27,478.46,459.91,475.2,549199.04,258005286.21
427.42,515.44,409.35,466.24,1321734.67,619578824.65
434.85,460.81,396.14,427.3,1023187.3,438013592.75
461.58,467.22,416.77,435.31,583678.92,259931075.6
457.96,471.39,449.69,461.58,464500.81,214732551.78
462.81,481.56,445.57,457.96,509415.89,237918665.66
466.93,472.16,446.64,462.92,411969.17,189877684.96
453.96,467.84,451.47,466.93,494270.35,227246572.43
422.48,456.87,413.13,453.96,1074639.32,470223347.34
421.15,434.85,404.16,422.39,992479.84,416652301.63
451.74,461.1,410.33,420.76,1095872.72,479837604.63
472.86,507.36,448.09,451.78,1093313.72,522718280.71
436.49,472.78,428.3,472.31,694853.93,307733091.95
513.29,519.35,436.01,436.54,758921.64,359245523.6
656.52,678.25,499.57,513.36,1760917.56,997267993.61
699.09,755.07,593.89,656.52,1964686.27,1324617349.11
693.58,751.68,662.29,699.09,1133303.76,806129945.07
684.27,696.89,614.33,693.58,954510.93,633348317.08
692.83,718.37,678.52,684.09,545836.8,378863163.02
717.71,732.45,691.95,692.32,532050.55,381124251.98
785.99,799.37,679.8,717.73,1016881.96,752383737.04
812.5,868.89,767.59,786.17,1339007.15,1094688835.82
799.17,830.2,713.75,812.5,1135826.7,889990388.6
789.39,840.55,759.65,799.17,906371.43,725479885.52
657.83,794.16,490.28,789.39,2384161.57,1535685091.41
700.44,747.53,651.1,657.81,663566.52,468771914.78
675.91,701.07,597.12,700.44,742417.69,477777689.82
723.14,747.36,671.71,676.08,536600.51,382873119.5
753.4,756.03,722.23,723.14,394588.38,293691001.17
739.94,766.53,706.67,753.44,474557.77,352542483.1
716.69,741.46,671.23,739.93,624468.48,437323299.68
739.6,755.2,710.2,716.69,533531.26,392497843.64
692.99,741.67,663.88,739.6,654093.06,455555629.24
741.13,746.62,686.44,692.99,361409.91,259822610.45
756.2,765.3,724.33,741.09,342878.12,256171569.97
861.97,882.61,756.17,756.17,1123318.86,949013949.18
941.1,951.7,847.9,861.97,871172.13,778108786.12
944.83,997.44,901.03,941.0,822844.78,780050914.4
967.13,1018.37,933.98,944.83,825084.59,808280779.56
1006.41,1010.17,958.29,967.13,384316.27,381555969.51
1117.75,1117.84,1003.21,1006.41,563476.81,602250144.77
1136.11,1228.25,967.84,1117.75,1137114.56,1292737991.11
1289.24,1300.3,1133.7,1136.11,812642.22,986697724.1
1248.99,1385.22,1210.85,1289.24,1105070.29,1445484601.88
1139.32,1333.92,1100.85,1248.96,1056985.76,1270849838.43
1261.03,1287.06,1087.61,1139.32,581477.09,704750432.94
1385.02,1422.86,1261.01,1261.06,551036.77,744906594.35
1359.48,1389.32,1267.48,1385.02,458696.01,610496132.15
1278.69,1381.35,1271.07,1359.38,407230.97,537797572.32
1050.26,1282.27,864.23,1278.7,1818512.61,1931700742.0
1024.69,1115.66,764.75,1050.26,2196783.74,2034010888.99
1012.97,1093.9,949.56,1024.9,1080431.79,1117430433.28
1037.36,1083.62,982.62,1012.97,501080.74,517599347.75
1150.5,1164.62,1036.82,1037.36,489743.73,545646401.81
1049.09,1150.57,1008.06,1150.5,508184.08,543760385.27
999.64,1084.28,917.0,1049.09,681092.91,676845706.25
984.47,1020.66,908.31,999.75,678043.45,660805261.99
1061.78,1062.6,956.97,984.48,514521.75,521553676.55
1046.37,1102.42,1022.2,1061.61,535509.16,568607934.27
1048.58,1075.59,987.13,1046.37,492824.14,509049582.65
1109.08,1121.9,1033.86,1048.58,365750.18,395059716.61
1231.58,1240.47,1101.62,1109.08,557486.08,662174309.95
1169.96,1240.32,1151.53,1231.57,436893.27,515965244.78
1063.75,1173.18,1034.72,1169.94,757521.14,835962532.22
1111.31,1122.98,1020.77,1063.77,510759.59,550605628.52
1026.19,1155.58,954.75,1111.29,970470.71,1033001644.78
917.47,1027.66,746.67,1026.19,1783823.6,1606436956.8
970.87,997.6,845.18,917.47,591555.32,552868551.93
827.59,971.05,781.36,970.87,766994.32,666593264.45
695.08,857.82,629.08,826.34,1747376.34,1272929187.15
785.01,801.73,564.19,695.05,2312291.59,1556542861.3
751.81,858.28,718.28,785.16,1124767.44,895500139.13
813.55,844.86,750.02,751.86,632557.69,510550202.1
877.88,880.22,781.5,813.55,561205.79,469210004.25
850.75,909.32,816.09,877.66,520877.94,451412405.8
811.24,853.74,780.13,850.99,376738.95,308313754.16
865.27,874.85,811.09,811.17,352040.84,300521830.64
840.98,867.6,823.77,865.28,304130.99,256092877.9
920.11,922.37,840.87,840.99,529918.98,470132510.11
927.95,947.53,905.65,920.11,489358.4,454133646.5
938.02,945.36,909.41,927.95,304038.76,282763877.2
974.77,974.83,934.95,937.92,287733.8,276682460.01
913.9,981.48,905.96,974.78,399661.16,375068724.24
939.79,955.62,911.6,913.9,233504.11,218921662.11
885.52,958.86,877.28,939.79,372375.38,344672330.06
840.1,906.56,818.12,885.52,517644.69,445950029.99
804.63,871.32,788.92,840.19,441363.7,362800754.34
854.7,882.42,787.97,804.61,403614.67,340134173.18
833.49,874.72,810.64,854.7,305237.13,255866976.42
840.28,849.52,818.55,833.49,204987.54,171228507.8
867.62,880.12,834.06,840.28,287223.68,247282448.05
871.58,894.92,861.72,867.62,228971.38,201082786.86
851.5,887.51,850.58,871.59,224871.89,195669597.92
869.87,880.21,846.72,851.5,209898.61,182033011.59
855.6,876.56,849.99,869.84,157611.27,135957233.48
855.65,867.44,852.86,855.6,109599.69,94471138.55
864.83,867.34,838.36,855.65,116481.31,99578403.38
849.42,868.8,849.28,864.92,147908.16,127303467.73
815.69,851.04,803.65,849.57,236850.07,195875620.51
751.13,825.32,726.38,815.65,463880.38,354361800.99
698.83,772.51,688.84,751.13,397145.73,289838564.8
726.92,730.46,642.06,698.83,599327.0,409323870.51
682.3,747.82,678.65,726.76,283137.95,203802606.28
720.36,735.01,663.58,682.3,293925.85,206098889.64
697.02,739.87,678.13,720.37,293711.48,208107856.0
689.96,714.19,679.19,697.0,281269.14,194913670.75
613.15,703.38,586.7,689.96,512459.31,325415119.18
610.56,620.43,572.11,613.15,571770.63,342311699.48
600.53,626.13,585.16,610.66,363025.84,221082941.44
549.79,609.94,543.28,600.53,363384.63,208843294.98
537.38,559.93,454.18,549.79,1438992.5,719812876.35
555.55,559.07,515.84,537.38,775671.57,418500605.22
557.57,567.0,516.78,555.55,607853.22,331343470.55
559.91,590.2,545.48,557.57,488509.24,277714049.38
539.89,578.01,516.22,559.91,431953.84,233985932.96
543.83,543.84,506.79,539.89,432407.55,225200086.3
520.16,546.01,519.51,543.84,241529.67,129350391.02
523.01,535.77,513.63,520.17,213514.32,111462284.91
486.25,526.2,467.48,522.97,567723.19,278656813.48
448.78,491.92,446.42,486.14,712309.54,328179170.99
445.93,465.2,440.35,448.78,415739.15,187271233.18
383.9,448.5,380.35,445.93,1162700.51,472575968.96
393.82,411.17,364.99,383.96,1174101.99,450253373.58
394.07,421.05,389.99,393.83,602304.03,243062846.9
378.85,399.59,359.22,394.07,626777.44,236013242.51
384.68,394.12,375.8,378.85,406593.03,156793473.63
415.93,426.84,380.71,384.68,556809.37,223508235.85
378.65,417.11,370.66,415.93,575977.98,223170178.92
381.36,387.56,367.15,378.65,424333.64,160332018.27
370.35,385.78,363.51,381.43,360272.94,133748822.09
384.98,397.1,369.66,370.35,281003.74,108165642.16
400.72,404.22,384.98,384.98,272088.6,107956653.97
399.02,431.23,387.98,400.72,669097.01,271803047.82
415.65,418.27,391.84,399.02,320480.46,129335600.11
430.42,433.44,410.97,415.65,398311.12,167561896.24
493.95,498.08,414.03,430.39,985900.0,450834363.9
494.96,528.95,482.1,493.95,930496.63,470945268.74
502.79,514.66,487.72,494.96,381076.96,191073028.98
534.15,534.31,502.79,502.79,469221.99,243926045.87
511.67,537.48,499.17,534.16,487480.43,249996040.92
503.03,522.07,500.48,511.67,382492.24,195195626.75
525.78,526.61,501.7,503.03,347025.84,178681435.05
567.25,570.18,521.83,525.78,490680.13,267530654.45
617.16,622.14,557.98,567.25,699889.46,410498449.5
605.17,625.15,576.09,617.17,488613.74,294264369.95
621.33,644.29,591.81,605.17,433216.48,270504773.22
644.13,648.41,619.57,621.33,373097.03,238556831.22
703.35,711.64,644.06,644.13,780339.81,538337384.08
617.73,703.9,592.59,703.4,1413475.83,903686072.96
661.45,665.97,600.35,617.62,616943.15,387845424.34
643.33,686.05,640.74,661.41,486769.09,323944620.57
683.02,693.47,640.09,643.12,351860.75,238423753.67
689.31,698.95,665.28,683.02,317205.24,216606354.66
670.04,693.63,663.28,689.31,364715.76,248315675.69
670.81,674.62,628.29,670.04,544527.28,355270695.23
686.74,690.86,662.13,670.81,376872.81,255558720.87
777.62,787.57,685.92,686.74,798057.17,588164727.16
784.21,804.63,759.67,777.78,546215.76,427563922.79
816.58,827.44,780.08,784.19,389912.01,315600160.75
790.39,834.3,753.51,816.59,474447.3,374541870.07
752.4,794.86,690.91,790.39,1131598.73,828032480.2
747.79,775.38,720.36,752.39,510303.7,380893335.71
751.27,759.91,709.78,747.79,464189.13,341691727.41
723.61,767.22,722.65,751.27,383612.95,287536989.76
677.8,735.97,665.49,723.63,748412.09,518848404.01
683.64,690.88,638.47,677.8,487345.93,324590855.24
729.34,740.02,669.96,683.64,385804.48,274037817.61
