close,high,low,open,volumefrom,volumeto
54.22,55.79,53.95,55.02,308611.81,16837184.69
56.75,57.83,53.86,54.22,745887.06,41624090.91
56.22,58.66,55.81,56.75,575177.06,32778628.05
55.5,56.74,55.49,56.22,429393.98,24119437.14
52.83,55.62,52.72,55.5,633540.44,34633306.9
54.19,54.9,50.03,52.82,1316174.14,68822709.59
55.98,56.13,53.79,54.19,808480.75,44375580.1
54.83,56.12,54.62,55.98,431022.66,23813377.86
54.6,55.45,54.43,54.84,415689.5,22789832.45
54.5,55.79,53.43,54.6,655602.25,35930222.15
60.52,63.49,54.47,54.5,1990453.25,117999766.44
62.38,64.07,59.59,60.52,1929054.85,119045612.63
64.15,66.9,61.59,62.38,1507681.54,96467373.94
58.99,65.75,56.02,64.15,1845061.12,112277387.44
62.14,63.77,58.64,59.07,1169795.97,71691165.51
58.54,62.26,56.73,62.14,1527653.8,90545722.68
61.0,61.84,58.07,58.53,1058638.68,63578216.42
62.13,63.41,60.12,61.0,936563.06,57740143.26
63.16,76.1,62.08,62.13,934924.43,62683272.43
70.7,72.5,62.5,63.15,1640431.26,108893924.78
67.36,71.29,65.33,70.7,1728098.47,117701637.06
69.42,69.77,65.41,67.36,811385.44,54642292.94
71.76,73.24,68.47,69.42,1103659.82,77870138.77
72.38,73.16,70.9,71.76,979972.34,70492845.22
69.91,72.85,68.09,72.38,1283528.9,90392116.91
72.03,72.04,69.88,69.91,675949.97,48021169.53
72.94,76.77,70.74,72.03,1452417.2,107737051.93
77.54,77.61,72.34,72.97,1103526.27,82185081.57
88.79,89.47,77.07,77.53,1908366.6,158025655.36
86.24,88.77,83.73,88.77,927136.62,79938117.09
90.99,93.11,86.12,86.2,1588524.41,142772956.71
94.22,94.53,89.53,90.99,1209822.51,111647453.48
85.41,103.03,78.12,94.22,2993509.96,283266729.01
85.94,92.23,76.95,85.4,1893458.34,159892481.32
99.15,100.22,81.11,85.94,2191137.08,201759858.57
99.32,103.41,97.52,99.15,1419498.63,142658345.14
100.7,106.77,96.87,99.32,1362821.76,138622765.31
103.87,103.95,95.39,100.71,1070029.64,107176440.63
100.49,103.91,100.37,103.86,910964.87,92720782.62
98.97,103.0,95.11,100.49,1462459.21,146319763.02
96.0,99.81,86.93,98.94,1731647.86,165747903.4
125.24,136.4,93.37,95.99,4076572.6,473760093.71
155.98,179.54,125.34,125.34,5632742.17,853646807.31
147.84,156.72,130.39,155.98,2513708.41,361899241.26
214.54,225.55,146.97,147.46,4325680.61,806672044.43
328.52,401.76,210.36,214.53,5958977.43,1712426348.74
305.27,347.8,276.12,327.96,3799072.43,1198402020.67
279.81,314.78,268.12,305.03,2000999.92,584754476.6
300.27,317.69,249.24,280.02,2872380.22,828163804.95
302.04,311.18,285.56,299.98,1299384.74,389831717.68
319.57,332.09,300.59,302.04,1599061.91,511044214.22
357.51,364.34,300.88,319.57,1900832.44,626661390.18
346.87,376.1,324.37,357.51,2310681.43,814023803.65
304.81,346.73,286.54,346.73,2365656.66,752136890.57
307.69,327.26,286.39,304.77,1381946.46,422642587.94
262.09,309.11,158.96,307.69,4775833.04,1167484790.83
284.11,312.71,256.31,262.15,1519044.69,433571769.1
272.24,285.4,244.14,283.69,1190611.75,314928561.95
268.21,283.46,262.39,272.24,569060.0,154893244.84
279.49,283.86,267.58,268.03,687239.9,190763629.05
264.07,285.32,252.87,279.47,812937.24,219103646.23
249.86,265.65,224.07,264.07,1155310.98,281385850.91
243.13,258.36,236.39,249.84,836578.77,207115905.19
212.07,243.42,202.02,243.13,1218741.31,268737310.82
226.52,235.4,207.95,212.07,841309.91,187138183.8
224.34,232.26,216.42,226.52,516920.48,115831512.64
251.81,260.53,224.28,224.34,1278275.25,314730425.65
244.63,256.81,241.11,251.81,851666.05,211596420.85
238.3,244.88,225.59,244.63,880942.78,206659684.03
244.51,251.56,235.0,238.3,1073887.31,262545479.11
278.92,305.21,243.56,244.51,1820160.48,511915657.4
271.57,287.27,265.37,278.92,764130.75,212682356.33
254.25,273.47,231.21,271.57,1056007.91,270377483.58
246.04,258.59,237.98,254.24,733760.61,184228877.9
249.1,249.31,230.66,246.02,859733.09,207658680.7
226.53,252.89,217.85,249.11,1131662.93,262771223.33
235.35,241.83,219.62,226.53,601578.96,140305335.34
257.94,262.87,235.3,235.35,713207.86,176341211.15
236.86,268.81,231.43,257.94,766737.16,189083699.89
231.89,244.4,230.79,236.86,466142.48,110848991.11
183.86,232.4,147.78,231.89,2444227.94,473245937.42
188.21,204.56,136.45,183.7,2667358.04,458374670.48
191.03,208.37,175.46,188.14,1421991.47,274884322.56
192.27,201.25,185.78,191.03,689881.36,132586901.46
210.68,214.72,192.26,192.27,651689.96,133356395.48
190.73,210.81,182.88,210.68,611724.98,118925936.69
179.42,194.34,165.42,190.72,795014.67,141918011.1
177.92,186.11,164.76,179.42,678138.3,119223032.27
180.59,184.7,172.42,177.91,482992.17,86367198.84
178.97,184.69,175.21,180.59,408877.4,73767401.29
175.65,182.15,165.76,178.93,487682.21,84960279.65
180.71,182.92,173.88,175.65,380203.96,68085098.56
193.23,194.48,180.29,180.71,435381.16,81443118.1
180.45,193.42,177.37,193.23,403178.2,73715876.66
165.38,180.61,159.77,180.45,749016.9,126940449.8
162.93,166.86,156.37,165.36,573000.11,92416470.16
141.37,165.71,127.75,162.93,1223518.75,177798590.66
131.17,142.0,102.51,141.36,2110261.36,264489437.71
161.0,166.33,120.41,131.17,1506854.19,220733569.6
147.55,174.66,136.96,161.0,2240983.28,348903981.9
125.04,153.9,114.72,147.55,2460919.58,328173135.99
141.85,147.26,105.5,125.02,3195103.97,397024992.7
137.84,159.11,130.74,141.85,1732911.13,252715544.76
149.48,151.14,136.97,137.84,935682.3,135986158.94
163.9,164.24,142.14,149.54,970773.63,148089557.46
154.91,169.32,147.97,163.92,1107595.53,176947228.51
149.06,155.86,141.8,154.91,622934.4,93014379.99
161.4,163.3,149.03,149.06,654870.23,103639383.04
159.05,162.19,153.0,161.4,411840.59,64925748.94
212.01,217.42,159.05,159.05,3012197.74,583527603.98
221.08,237.15,206.77,212.01,2256362.19,503035315.29
228.39,234.83,210.25,221.08,1279720.76,285095066.0
229.41,232.71,224.11,228.39,596952.88,136508884.87
214.22,231.97,211.9,229.43,998902.69,221587127.59
221.97,226.21,213.51,214.16,562650.83,124644378.78
229.38,252.2,221.39,221.97,1875180.98,448688720.76
210.26,231.7,204.81,229.43,1495364.41,324317151.0
192.91,221.44,188.81,210.26,1334620.63,269393148.66
206.6,215.84,182.37,192.91,1272166.15,253168167.29
206.35,218.45,194.86,206.6,1005421.79,206867570.89
218.31,223.1,200.06,206.38,959496.53,202904391.4
218.62,231.6,214.74,218.52,1268149.53,283282159.15
215.15,223.21,212.13,218.62,670062.75,145775086.01
202.14,223.61,201.59,215.15,723860.2,153831817.48
209.32,214.68,200.47,202.14,535731.03,111779752.45
212.59,213.42,204.5,209.31,404886.1,84393296.12
210.29,217.99,209.03,212.61,526099.47,112747585.28
213.36,214.65,205.18,210.29,323683.59,67818928.88
210.8,215.97,209.19,213.36,328666.09,69862750.33
196.58,210.81,191.7,210.8,677083.14,136364561.14
186.04,199.47,174.32,196.58,1057758.38,196927717.88
175.82,188.18,174.69,186.05,687998.65,124496969.68
186.38,189.98,158.82,175.82,1433662.06,248799371.6
177.3,194.73,175.55,186.38,675927.93,125536991.93
188.39,193.19,171.6,177.3,709486.34,130493862.2
177.85,193.04,174.64,188.38,672197.12,123163748.35
175.47,181.94,171.33,177.85,555859.73,97844283.82
160.77,178.04,157.79,175.47,706506.68,116916175.42
164.28,167.81,150.3,160.77,950156.53,152065919.9
164.95,172.02,158.56,164.28,589106.18,97457804.99
152.65,165.62,151.01,164.95,557327.8,87970243.09
153.94,157.44,137.51,152.65,1135098.02,166006029.57
161.51,163.91,151.02,153.94,801372.26,125855703.46
169.09,173.8,155.79,161.51,689660.21,113739250.11
168.71,175.41,165.51,169.09,589180.05,100728004.76
163.93,172.53,160.17,168.74,514546.99,85077161.93
168.85,169.04,157.05,163.92,461200.91,74392970.56
159.05,169.69,158.41,168.85,376763.43,62032422.79
160.31,163.22,157.61,159.05,281227.7,45066192.6
148.28,160.96,142.09,160.31,761859.57,113770581.7
134.88,149.33,134.75,148.28,711462.72,100360248.03
131.66,139.79,130.24,134.86,549891.26,73816273.85
