close,high,low,open,volumefrom,volumeto
0.1982,0.2008,0.1974,0.2001,13367326.6,2660885.76
0.2015,0.2053,0.1966,0.1981,27095264.56,5441321.33
0.2024,0.2044,0.2001,0.2015,21614281.66,4373000.14
0.1975,0.2034,0.1975,0.2024,27043667.25,5437568.73
0.1903,0.2006,0.1896,0.1975,47448613.26,9269250.28
0.2003,0.2065,0.1755,0.191,103212717.82,19532362.03
0.2059,0.2263,0.1961,0.2003,147015576.65,30726742.27
0.2015,0.2061,0.2001,0.2059,30140417.31,6104463.98
0.1997,0.2033,0.1984,0.2014,26944763.85,5405398.96
0.2013,0.2067,0.1981,0.1997,43252538.69,8747823.33
0.2055,0.2065,0.1993,0.2013,39602621.81,8001067.76
0.2167,0.2235,0.2031,0.2055,100569675.08,21290259.15
0.2154,0.2218,0.2126,0.2167,79735606.88,17384153.32
0.2033,0.2185,0.1988,0.2154,94828370.41,19761606.63
0.2092,0.2147,0.2016,0.2033,76561311.72,15862481.91
0.1915,0.2094,0.1861,0.2092,212638415.64,41553234.57
0.2001,0.2001,0.1906,0.1915,82216620.66,16156188.48
0.205,0.2103,0.1995,0.2001,59546806.84,12145669.26
0.2083,0.2101,0.2037,0.205,60047732.63,12422123.14
0.2269,0.2809,0.2058,0.2083,391424404.27,93968360.41
0.2239,0.2376,0.2174,0.227,138204506.25,31261061.68
0.2275,0.2293,0.2191,0.2239,69817134.52,15637626.61
0.2321,0.237,0.2231,0.2275,88098310.06,20275409.23
0.2406,0.2462,0.2315,0.2322,105382518.94,25292860.72
0.2318,0.2444,0.2292,0.2409,105169636.84,24827598.13
0.2385,0.2417,0.2317,0.2321,88143638.56,20858762.58
0.24,0.2503,0.2357,0.2385,126134646.49,30606231.45
0.241,0.2443,0.2312,0.24,101011254.5,24064579.25
0.2488,0.2531,0.2394,0.241,89796382.42,22171520.3
0.245,0.2492,0.2412,0.2489,45849658.62,11230763.66
0.247,0.2497,0.2403,0.2445,104909706.63,25793046.5
0.2795,0.2806,0.2467,0.247,243886406.42,63810022.09
0.2353,0.2797,0.2128,0.2796,286283537.59,73288773.49
0.2356,0.2468,0.22,0.2356,153338852.47,35749407.85
0.2473,0.2511,0.2259,0.2369,130581576.51,31411210.27
0.2441,0.2494,0.2403,0.2473,72003762.03,17678347.76
0.2449,0.2586,0.2354,0.2441,114743980.4,28536941.06
