,BTC,ETH,LTC,BCH,TRX,XRP,EOS
0,5726.61,293.35,54.22,417.22,0.0036799999999999997,0.1982,0.5339
1,6147.52,304.04,56.75,451.91,0.0026899999999999997,0.2015,0.6668
2,6124.28,306.8,56.22,444.93,0.00262,0.2024,0.7125
3,6451.24,303.64,55.5,435.48,0.00278,0.1975,0.7826
4,6737.78,289.42,52.83,529.88,0.0022199999999999998,0.1903,1.05
5,7024.81,284.92,54.19,562.79,0.00212,0.2003,1.11
6,7152.12,304.51,55.98,626.04,0.00217,0.2059,1.2
7,7363.8,300.04,54.83,614.26,0.00218,0.2015,1.11
8,7389.55,296.23,54.6,625.72,0.00248,0.1997,1.09
9,6959.23,296.82,54.5,588.68,0.00183,0.2013,0.9124
10,7102.75,291.84,60.52,603.26,0.00231,0.2055,0.9518
11,7444.36,307.35,62.38,617.41,0.00236,0.2167,1.12
12,7129.59,319.66,64.15,650.09,0.00243,0.2154,1.18
13,6565.8,296.86,58.99,995.4,0.00228,0.2033,1.03
14,6339.86,314.23,62.14,1325.56,0.00225,0.2092,1.16
15,5878.13,306.02,58.54,1374.39,0.00185,0.1915,1.09
16,6522.45,314.6,61.0,1346.96,0.00215,0.2001,1.18
17,6597.06,334.72,62.13,1251.63,0.0025,0.205,1.68
18,7283.22,331.2,63.16,1187.03,0.0023,0.2083,1.67
19,7853.68,330.32,70.7,896.51,0.0022,0.2269,1.67
20,7699.95,331.72,67.36,1175.54,0.002,0.2239,1.74
21,7780.91,346.65,69.42,1243.86,0.00193,0.2275,1.92
22,8042.64,354.6,71.76,1176.66,0.00196,0.2321,1.88
23,8244.69,367.71,72.38,1245.28,0.00215,0.2406,1.99
24,8099.97,360.52,69.91,1169.9,0.00212,0.2318,1.91
25,8234.55,380.84,72.03,1298.62,0.00253,0.2385,1.89
26,8013.41,406.57,72.94,1662.21,0.00233,0.24,1.88
27,8200.8,470.43,77.54,1625.05,0.0021,0.24100000000000002,1.88
28,8754.69,464.61,88.79,1546.22,0.002,0.2488,2.05
29,9318.42,470.54,86.24,1719.36,0.0020800000000000003,0.245,2.46
30,9733.2,475.24,90.99,1587.66,0.00209,0.247,2.86
31,9906.04,466.27,94.22,1481.93,0.0022600000000000003,0.2795,2.76
32,9837.86,427.42,85.41,1333.15,0.00215,0.2353,2.71
33,9946.76,434.85,85.94,1318.42,0.0022,0.2356,2.84
34,10861.47,461.58,99.15,1426.5,0.00206,0.2473,3.22
35,10912.73,457.96,99.32,1390.58,0.00202,0.2441,3.91
36,11246.21,462.81,100.7,1511.46,0.002,0.2449,3.58
37,11623.91,466.93,103.87,1540.7,0.00212,0.2462,4.04
