,BTC,ETH,LTC,BCH,TRX,XRP,EOS
0,5654.8,291.11,53.95,363.13,0.0029,0.1974,0.5165
1,5679.37,292.06,53.86,400.41,0.00264,0.1966,0.5327
2,6018.97,303.58,55.81,416.06,0.00228,0.2001,0.6409
3,6090.83,303.4,55.49,426.3,0.00249,0.1975,0.6676
4,6355.0,288.5,52.72,434.45,0.00221,0.1896,0.7522
5,6737.77,276.89,50.03,492.39,0.00202,0.1755,0.9159999999999999
6,6938.93,284.85,53.79,558.53,0.00212,0.1961,1.06
7,6957.84,294.05,54.62,563.07,0.00215,0.2001,1.04
8,7284.33,294.06,54.43,570.83,0.00215,0.1984,0.973
9,6934.73,292.26,53.43,588.18,0.00182,0.1981,0.9015
10,6957.8,287.45,54.47,584.38,0.00183,0.1993,0.9107
11,7026.97,290.55,59.59,522.79,0.00215,0.2031,0.9434
12,7040.83,305.84,61.59,612.32,0.00225,0.2126,1.12
13,6406.05,288.96,56.02,647.39,0.002,0.1988,0.9844
14,6197.87,296.26,58.64,897.92,0.0018100000000000002,0.2016,1.0
15,5493.64,297.48,56.73,1187.01,0.00157,0.1861,1.02
16,5828.34,305.35,58.07,1012.22,0.0017699999999999999,0.1906,1.08
17,6419.18,314.45,60.12,1186.56,0.00203,0.1995,1.18
18,6596.94,324.88,62.08,1164.95,0.0021,0.2037,1.51
19,7119.17,321.9,62.5,873.44,0.0019,0.2058,1.56
20,7534.7,325.83,65.33,856.95,0.002,0.2174,1.58
21,7458.9,326.83,65.41,1174.86,0.00175,0.2191,1.65
22,7675.41,343.89,68.47,1132.28,0.0019199999999999998,0.2231,1.75
23,7947.28,354.28,70.9,1170.82,0.00196,0.2315,1.83
24,7819.06,351.41,68.09,1146.25,0.00183,0.2292,1.84
25,8091.63,359.97,69.88,1164.3,0.00212,0.2317,1.76
26,8012.35,375.44,70.74,1293.66,0.0022,0.2357,1.85
27,7900.17,400.18,72.34,1529.13,0.00195,0.2312,1.71
28,8153.7,457.41,77.07,1517.64,0.00196,0.2394,1.78
29,8746.56,451.12,83.73,1528.69,0.002,0.2412,1.93
30,9316.84,462.47,86.12,1557.31,0.00201,0.2403,2.35
31,9638.2,459.91,89.53,1469.1,0.00201,0.2467,2.71
32,8938.7,409.35,78.12,1277.59,0.00186,0.2128,2.48
33,9023.77,396.14,76.95,1174.84,0.0020399999999999997,0.22,2.44
34,9420.93,416.77,81.11,1243.5,0.00205,0.2259,2.69
35,10715.55,449.69,97.52,1371.13,0.002,0.2403,3.16
36,10578.43,445.57,96.87,1378.47,0.00195,0.2354,3.4
37,10917.81,446.64,95.39,1438.56,0.0019,0.2354,3.41
38,11486.13,451.47,100.37,1410.56,0.00202,0.2305,3.65
39,11661.76,413.13,95.11,1309.53,0.0020399999999999997,0.2099,4.16
40,13401.61,404.16,86.93,1217.38,0.00294,0.2009,3.28
41,13906.1,410.33,93.37,1137.42,0.0028699999999999997,0.2005,3.53
42,13151.47,448.09,125.34,1305.28,0.00394,0.2295,3.68
43,13031.0,428.3,130.39,1186.48,0.00331,0.2223,3.4
44,15024.56,436.01,146.97,1288.39,0.00409,0.22699999999999998,3.65
45,16254.53,499.57,210.36,1330.78,0.00488,0.2442,4.23
46,15669.86,593.89,276.12,1444.1,0.006540000000000001,0.3388,4.69
47,16023.64,662.29,268.12,1561.3,0.013000000000000001,0.4527,7.04
48,16442.2,614.33,249.24,1630.62,0.01265,0.6183,6.52
49,17318.54,678.52,285.56,1733.98,0.017419999999999998,0.7177,7.89
50,18750.91,691.95,300.59,1773.1,0.03015,0.7016,7.81
51,18114.42,679.8,300.88,1750.39,0.0305,0.6651,7.22
52,16812.8,767.59,324.37,2075.48,0.0382,0.7019,8.65
53,15642.69,713.75,286.54,2665.55,0.026860000000000002,0.6568,9.69
54,14952.98,759.65,286.39,2857.3,0.041460000000000004,0.7128,9.71
55,10875.71,490.28,158.96,1716.84,0.02072,0.6203,3.14
56,13356.07,651.1,256.31,2466.89,0.03273,0.9263,7.48
57,12166.45,597.12,244.14,2463.15,0.03162,0.8253,6.71
58,13010.71,671.71,262.39,2600.42,0.031239999999999997,0.9236,7.62
59,13748.49,722.23,267.58,2720.99,0.031439999999999996,0.9712,8.05
