,BTC,ETH,LTC,BCH,TRX,XRP,EOS
0,5764.56,296.37,55.02,363.82,0.00312,0.2001,0.5218
1,5726.61,293.33,54.22,416.77,0.0036799999999999997,0.1981,0.5336
2,6147.7,304.04,56.75,451.91,0.0026899999999999997,0.2015,0.6671
3,6124.28,306.8,56.22,444.93,0.00262,0.2024,0.7125
4,6449.1,303.63,55.5,435.48,0.00278,0.1975,0.7822
5,6737.78,289.42,52.82,530.24,0.0022199999999999998,0.191,1.05
6,7024.81,284.92,54.19,563.21,0.00212,0.2003,1.11
7,7146.98,304.51,55.98,626.02,0.00217,0.2059,1.2
8,7363.8,300.0,54.84,614.26,0.00218,0.2014,1.11
9,7389.55,296.22,54.6,625.72,0.00248,0.1997,1.09
10,6959.27,296.82,54.5,588.55,0.00183,0.2013,0.9123
11,7102.23,291.84,60.52,603.17,0.00231,0.2055,0.9517
12,7444.36,307.35,62.38,617.0,0.00236,0.2167,1.12
13,7129.59,319.67,64.15,650.09,0.00243,0.2154,1.18
14,6565.8,296.86,59.07,989.87,0.00228,0.2033,1.03
15,6339.87,314.23,62.14,1325.56,0.00225,0.2092,1.16
16,5878.09,306.02,58.53,1369.5,0.00185,0.1915,1.09
17,6522.45,314.6,61.0,1346.96,0.00215,0.2001,1.18
18,6597.06,334.72,62.13,1251.62,0.0025,0.205,1.68
19,7283.02,331.2,63.15,1185.84,0.0023,0.2083,1.67
20,7853.68,330.32,70.7,897.76,0.0022,0.22699999999999998,1.67
21,7699.95,331.72,67.36,1177.05,0.002,0.2239,1.74
22,7781.02,346.65,69.42,1242.89,0.00193,0.2275,1.91
23,8042.64,354.67,71.76,1177.07,0.00196,0.2322,1.88
24,8245.87,367.71,72.38,1245.28,0.00215,0.2409,1.99
25,8099.92,360.52,69.91,1169.9,0.00212,0.2321,1.91
26,8234.5,380.83,72.03,1297.83,0.00253,0.2385,1.89
27,8013.38,406.51,72.97,1662.4,0.00233,0.24,1.88
28,8203.45,470.4,77.53,1625.05,0.0021,0.24100000000000002,1.88
29,8754.62,464.55,88.77,1546.46,0.002,0.2489,2.05
30,9318.42,470.45,86.2,1718.73,0.0020800000000000003,0.2445,2.46
31,9732.63,475.2,90.99,1587.58,0.00209,0.247,2.86
32,9906.04,466.24,94.22,1481.92,0.0022600000000000003,0.2796,2.76
33,9848.05,427.3,85.4,1333.52,0.00215,0.2356,2.71
34,9947.08,435.31,85.94,1318.42,0.0022,0.2369,2.84
35,10861.47,461.58,99.15,1426.57,0.00206,0.2473,3.22
36,10912.72,457.96,99.32,1390.92,0.00202,0.2441,3.91
37,11244.2,462.92,100.71,1511.37,0.002,0.2449,3.58
38,11624.37,466.93,103.86,1540.64,0.00212,0.2462,4.04
39,11667.13,453.96,100.49,1421.41,0.0020399999999999997,0.2337,4.19
40,13750.09,422.39,98.94,1349.74,0.00386,0.2182,4.47
41,16867.98,420.76,95.99,1229.9,0.00364,0.2037,3.89
42,16048.18,451.78,125.34,1383.33,0.00404,0.2337,4.22
43,14839.98,472.31,155.98,1369.53,0.00439,0.2353,3.98
44,15060.45,436.54,147.46,1289.42,0.00414,0.2271,3.67
45,16733.29,513.36,214.53,1402.35,0.00512,0.2451,4.39
46,17083.9,656.52,327.96,1544.92,0.007670000000000001,0.3555,5.08
47,16286.82,699.09,305.03,1572.91,0.0147,0.4582,7.28
48,16467.91,693.58,280.02,1933.27,0.01754,0.8507,8.2
49,17594.08,684.09,299.98,1797.03,0.01851,0.7375,7.93
50,19346.6,692.32,302.04,1773.75,0.03587,0.7397,8.35
51,19065.71,717.73,319.57,1827.41,0.034,0.7118,7.97
52,18971.19,786.17,357.51,2146.46,0.04556,0.7558,8.88
53,17521.73,812.5,346.73,2670.97,0.04236,0.7344,11.49
54,16461.09,799.17,304.77,3715.91,0.04688,0.7144,10.45
55,15632.12,789.39,307.69,3084.09,0.04829,1.12,10.65
56,13664.97,657.81,262.15,2521.45,0.03744,1.0,7.69
57,14396.63,700.44,283.69,2991.58,0.04811,1.01,8.26
58,13789.95,676.08,272.24,2797.92,0.03615,0.9782,7.99
59,13830.19,723.14,268.03,2739.94,0.03295,0.9805,8.15
60,15757.02,753.44,279.47,2921.89,0.03762,1.07,8.6
61,15416.34,739.93,264.07,2710.64,0.036489999999999995,1.21,8.72
62,14398.45,716.69,249.84,2486.54,0.039830000000000004,1.26,8.1
63,14392.14,739.6,243.13,2622.42,0.03543,1.93,8.12
64,12532.38,692.99,212.07,2210.18,0.03752,1.86,7.08
65,13850.49,741.09,226.52,2371.83,0.04862,1.98,7.69
66,13444.88,756.17,224.34,2319.12,0.0579,2.05,7.64
67,14754.09,861.97,251.81,2555.49,0.09809,2.19,8.3
68,15156.49,941.0,244.63,2556.37,0.1307,2.73,9.43
69,15180.08,944.83,238.3,2355.68,0.2536,2.73,9.47
70,16954.76,967.13,244.51,2390.04,0.2981,2.51,9.29
71,17174.5,1006.41,278.92,2533.24,0.1963,2.65,9.83
72,16228.26,1117.75,271.57,2530.5,0.2163,2.78,10.16
73,14976.17,1136.11,254.24,2404.74,0.1517,2.41,9.6
74,14468.09,1289.24,246.02,2376.68,0.1254,2.06,9.23
75,14920.36,1248.96,249.11,2856.94,0.1332,1.95,11.2
76,13308.06,1139.32,226.53,2437.92,0.1108,1.93,11.27
77,13841.19,1261.06,235.35,2596.21,0.1086,2.02,13.8
78,14244.12,1385.02,257.94,2664.98,0.1041,2.0,16.0
79,13638.63,1359.38,236.86,2530.59,0.08614,1.83,13.23
80,13634.6,1278.7,231.89,2394.02,0.07767,1.66,12.78
81,11282.49,1050.26,183.7,1760.95,0.057429999999999995,1.15,10.0
82,11162.7,1024.9,188.14,1748.8,0.08542999999999999,1.31,10.15
83,11175.52,1012.97,191.03,1708.87,0.08338,1.57,10.18
84,11521.82,1037.36,192.27,1756.72,0.0809,1.54,11.07
85,12783.54,1150.5,210.68,2024.32,0.08601,1.57,15.51
86,11549.98,1049.09,190.72,1772.37,0.07176,1.37,13.47
87,10814.52,999.75,179.42,1606.05,0.07178999999999999,1.34,13.38
88,10853.78,984.48,177.91,1614.46,0.06858,1.34,12.88
89,11428.11,1061.61,180.59,1653.46,0.07221,1.36,13.9
90,11175.87,1046.37,178.93,1631.96,0.0697,1.3,14.25
91,11104.34,1048.58,175.65,1594.67,0.06637,1.21,14.24
92,11460.39,1109.08,180.71,1632.08,0.06956,1.22,14.38
93,11767.74,1231.57,193.23,1742.54,0.06657,1.36,14.75
94,11234.32,1169.94,180.45,1650.33,0.0646,1.27,13.54
95,10107.4,1063.77,165.36,1462.94,0.05421,1.11,11.36
96,10226.86,1111.29,162.93,1487.18,0.057010000000000005,1.14,11.98
97,9114.73,1026.19,141.36,1267.99,0.046810000000000004,0.9503,10.03
98,8872.87,917.47,131.17,1192.13,0.0421,0.8989,10.23
99,9251.27,970.87,161.0,1273.33,0.04664,0.9595,10.64
100,8218.05,826.34,147.55,1158.63,0.03872,0.8166,8.89
101,6936.43,695.05,125.02,884.28,0.03032,0.6805,7.06
102,7701.25,785.16,141.85,966.87,0.03622,0.7619,8.29
103,7593.78,751.86,137.84,954.81,0.03267,0.7157,7.67
104,8259.26,813.55,149.54,1280.55,0.03827,0.7809999999999999,8.31
105,8696.83,877.66,163.92,1299.97,0.0469,0.9201,9.48
106,8569.32,850.99,154.91,1240.54,0.04815,1.03,8.9
107,8084.61,811.17,149.06,1211.03,0.04214,0.9607,8.33
108,8911.17,865.28,161.4,1282.05,0.045810000000000003,1.04,9.13
109,8544.69,840.99,159.05,1220.75,0.04308,0.9866,8.94
110,9485.64,920.11,212.01,1353.19,0.04607,1.13,9.85
111,10033.75,927.95,221.08,1359.47,0.04643,1.11,9.84
112,10188.73,937.92,228.39,1530.42,0.05269,1.11,9.84
113,11097.21,974.78,229.43,1543.21,0.05492999999999999,1.18,10.02
114,10418.12,913.9,214.16,1453.2,0.049569999999999996,1.07,9.06
115,11182.28,939.79,221.97,1521.88,0.0517,1.11,9.49
116,11256.78,885.52,229.43,1393.76,0.04729,1.03,8.88
117,10481.66,840.19,210.26,1287.03,0.04494,0.9512,8.34
118,9847.96,804.61,192.91,1209.98,0.0404,0.8904,7.78
119,10175.51,854.7,206.6,1256.73,0.04319,0.9402,8.26
120,9705.73,833.49,206.38,1182.03,0.04077,0.9009,7.9
121,9610.11,840.28,218.52,1172.58,0.04015,0.9014,7.69
122,10326.5,867.62,218.62,1244.42,0.04191,0.9296,7.99
123,10594.76,871.59,215.15,1234.17,0.04258,0.9276,8.39
124,10334.44,851.5,202.14,1200.33,0.04364,0.8857,8.19
125,10929.37,869.84,209.31,1284.9,0.04872,0.9155,8.55
126,11043.12,855.6,212.61,1276.64,0.05325,0.8983,8.02
127,11465.36,855.65,210.29,1272.26,0.04923,0.8984,7.92
128,11503.94,864.92,213.36,1285.24,0.04819,1.0,8.15
129,11440.33,849.57,210.8,1266.93,0.04673,0.9427,7.95
130,10735.45,815.65,196.58,1207.49,0.0441,0.9013,7.13
131,9928.56,751.13,186.05,1095.21,0.03862,0.8535,6.43
132,9316.77,698.83,175.82,1033.96,0.037110000000000004,0.8053,6.1
133,9252.76,726.76,186.38,1065.69,0.037469999999999996,0.8236,6.02
134,8797.27,682.3,177.3,1003.78,0.035339999999999996,0.775,5.64
135,9543.98,720.37,188.38,1138.84,0.03875,0.8173,6.04
136,9142.27,697.0,177.85,1051.06,0.0367,0.7822,5.72
137,9160.12,689.96,175.47,1053.72,0.0363,0.7777,5.79
138,8216.22,613.15,160.77,950.28,0.031389999999999994,0.6876,5.28
139,8267.95,610.66,164.28,939.68,0.030330000000000003,0.6841,5.12
140,8283.23,600.53,164.95,972.28,0.030430000000000002,0.6779,5.04
141,7882.67,549.79,152.65,949.45,0.02885,0.6278,4.63
142,8215.5,537.38,153.94,936.28,0.02932,0.65,4.62
143,8623.14,555.55,161.51,994.36,0.032760000000000004,0.7203,6.18
144,8920.53,557.57,169.09,1062.82,0.03855,0.6996,5.93
145,8911.37,559.91,168.74,1031.75,0.03726,0.6786,6.9
146,8724.98,539.89,163.92,1015.19,0.03818,0.6523,6.89
147,8935.51,543.84,168.85,1029.65,0.04202,0.6404,6.94
148,8548.39,520.17,159.05,975.94,0.04927,0.6291,6.51
149,8472.56,522.97,160.31,975.38,0.04531,0.6341,6.43
150,8152.18,486.14,148.28,913.74,0.044219999999999995,0.5874,5.78
151,7808.42,448.78,134.86,877.69,0.0433,0.5703,5.8
152,7959.78,445.93,131.66,861.16,0.04879,0.5733,6.2
153,7106.62,383.96,114.66,711.13,0.043410000000000004,0.5031,5.88
154,6853.75,393.83,118.49,696.98,0.04136,0.4989,6.01
155,6943.77,394.07,116.32,685.47,0.03413,0.5003,5.93
156,6835.58,378.85,115.11,644.1,0.03229,0.4787,5.6
157,7074.65,384.68,119.26,663.98,0.03599,0.4937,5.82
158,7434.3,415.93,134.23,710.13,0.03493,0.5473,6.02
159,6815.5,378.65,118.36,651.53,0.030239999999999996,0.4903,5.67
