,BTC,ETH,LTC,BCH,TRX,XRP,EOS
0,53232.17,142578.77,308611.81,175686.09,665800.0,13367326.6,4099844.69
1,163055.75,353324.1,745887.06,572432.17,688300.0,27095264.56,13487478.35
2,78624.31,186091.57,575177.06,193899.08,714200.0,21614281.66,12955794.25
3,101249.62,214194.38,429393.98,98339.43,2548600.0,27043667.25,9582555.18
4,133191.93,406127.88,633540.44,249273.2,200900.0,47448613.26,36964539.75
5,238796.19,702319.19,1316174.14,314670.88,207000.0,103212717.82,31135053.4
6,154886.75,487772.27,808480.75,331298.66,53600.0,147015576.65,25001835.96
7,106602.67,277052.73,431022.66,224020.94,116400.0,30140417.31,17267343.83
8,105727.2,214091.55,415689.5,147005.72,171200.0,26944763.85,14199958.28
9,159688.48,376470.44,655602.25,160442.93,389800.0,43252538.69,13596521.91
10,101044.57,530096.77,1990453.25,72283.97,217300.0,39602621.81,7738637.44
11,220224.38,800725.7,1929054.85,213140.03,1459500.0,100569675.08,16679289.17
12,126769.9,650266.17,1507681.54,138517.84,469900.0,79735606.88,9167694.71
13,222001.18,793302.54,1845061.12,668162.3,333400.0,94828370.41,10244964.77
14,135719.07,531431.95,1169795.97,350109.81,495600.0,76561311.72,9159475.95
15,269832.87,877312.34,1527653.8,544972.02,1852800.0,212638415.64,8394417.53
16,178340.89,558443.0,1058638.68,288010.82,868000.0,82216620.66,6537330.25
17,96502.09,785305.62,936563.06,129369.96,1519400.0,59546806.84,21057867.09
18,131120.23,514478.63,934924.43,108532.62,1885200.0,60047732.63,15995802.57
19,133937.8,479983.53,1640431.26,196969.98,1868900.0,391424404.27,16955963.51
20,117347.03,378014.46,1728098.47,229956.38,2197500.0,138204506.25,11992099.94
21,74382.12,421354.76,811385.44,186220.18,4680200.0,69817134.52,11773271.49
22,68618.85,633880.58,1103659.82,96217.99,1861700.0,88098310.06,11153672.69
23,75703.64,461611.79,979972.34,63055.0,2667700.0,105382518.94,9783694.84
24,115454.28,693590.17,1283528.9,73911.91,2316000.0,105169636.84,12239367.55
25,65811.68,445622.07,675949.97,106768.91,1802100.0,88143638.56,9506691.51
26,68010.7,1028925.9,1452417.2,201412.14,4124000.0,126134646.49,7925618.56
27,72994.63,908488.94,1103526.27,159800.54,2196500.0,101011254.5,7303428.15
28,84670.41,642619.77,1908366.6,106475.37,2432200.0,89796382.42,7995090.83
29,85891.98,376521.85,927136.62,45358.13,2447100.0,45849658.62,1529705.62
30,106902.79,672619.99,1588524.41,99369.0,853100.0,104909706.63,13658945.84
31,87754.89,549199.04,1209822.51,97309.59,5413300.0,243886406.42,11523237.31
32,233325.32,1321734.67,2993509.96,178364.5,4102300.0,286283537.59,14501126.12
33,187008.87,1023187.3,1893458.34,116177.53,2574300.0,153338852.47,11217226.6
34,131918.85,583678.92,2191137.08,94281.57,3670400.0,130581576.51,7731310.56
35,86825.51,464500.81,1419498.63,46212.49,2156600.0,72003762.03,12157858.98
36,122125.7,509415.89,1362821.76,110384.17,3583400.0,114743980.4,9757224.32
37,93173.9,411969.17,1070029.64,61047.95,6754400.0,88846578.17,10818305.23
38,89687.21,494270.35,910964.87,76294.69,5525800.0,123300335.79,16903094.58
39,191576.66,1074639.32,1462459.21,92022.37,13158700.0,204253744.97,14904676.51
40,297108.66,992479.84,1731647.86,123812.84,30744900.0,208391038.79,15263393.03
41,286762.02,1095872.72,4076572.6,203852.98,17002900.0,389258800.93,9747608.94
42,181979.81,1093313.72,5632742.17,83939.26,12034600.0,164407089.86,9549082.85
43,201620.09,694853.93,2513708.41,80859.32,5561700.0,121544984.41,7209159.5
44,159724.56,758921.64,4325680.61,70404.27,10684500.0,124361471.49,10703236.52
45,132846.57,1760917.56,5958977.43,108785.79,17182300.0,519231859.46,14003648.21
46,155407.35,1964686.27,3799072.43,125131.91,22159563.74,841256146.25,33584621.51
47,107918.03,1133303.76,2000999.92,220803.74,20351396.01,1068868645.03,22315609.69
48,153651.15,954510.93,2872380.22,109849.42,13370257.26,677790212.11,15244024.52
49,112173.97,545836.8,1299384.74,62028.65,25304573.4,294336071.67,11967893.44
50,117408.38,532050.55,1599061.91,60356.9,16978259.57,163695151.68,7915233.66
51,139251.39,1016881.96,1900832.44,203611.05,26546013.81,301537624.35,10794400.05
52,174543.37,1339007.15,2310681.43,272005.86,17001642.64,321260039.22,29239967.21
53,227676.13,1135826.7,2365656.66,545546.68,23140957.59,248357989.89,9395415.61
54,163735.02,906371.43,1381946.46,242943.03,25596613.03,835987496.76,9522150.21
55,466980.6,2384161.57,4775833.04,397962.38,28715779.24,932168841.54,30796008.07
56,170169.39,663566.52,1519044.69,189040.5,33235497.97,223612410.71,8592167.87
57,182417.29,742417.69,1190611.75,164197.45,36642046.43,222169274.19,6796919.66
58,107475.98,536600.51,569060.0,67929.79,16584383.28,102065500.75,3727887.94
59,143135.26,394588.38,687239.9,64768.32,29688891.52,130476216.13,4766304.19
60,138705.28,474557.77,812937.24,58588.61,21261366.83,366816779.57,5228997.52
61,170366.63,624468.48,1155310.98,79023.66,17691297.73,286904797.52,4746439.34
62,118874.63,533531.26,836578.77,107608.19,19908957.97,664919154.54,3977974.07
63,182065.44,654093.06,1218741.31,95886.67,18454838.11,756289917.24,5483898.78
64,111270.55,361409.91,841309.91,55810.75,15377991.11,275180874.46,2386645.58
65,78425.21,342878.12,516920.48,34566.74,26771041.32,120735961.19,2129554.08
66,137732.17,1123318.86,1278275.25,85541.57,57123465.69,201990621.19,4643760.32
67,106543.39,871172.13,851666.05,65561.81,36490029.62,387508545.77,4364385.03
68,110968.82,822844.78,880942.78,69356.28,79407644.92,438911741.95,7078127.9
69,141960.42,825084.59,1073887.31,78812.67,56855742.62,381017659.29,4358645.81
70,83927.99,384316.27,1820160.48,76198.33,51968834.19,149254652.23,3087102.87
71,79006.37,563476.81,764130.75,77755.49,61698300.58,100073167.69,3815149.8
