,BTC,ETH,LTC,BCH,TRX,XRP,EOS
0,305611140.99,41932396.96,16837184.69,67773673.63,2109.54,2660885.76,2171490.01
1,966990808.93,107293933.23,41624090.91,259090603.37,2526.42,5441321.33,8282721.68
2,481600502.95,57189166.5,32778628.05,87034115.9,1934.03,4373000.14,9021667.54
3,637838767.02,65784953.81,24119437.14,43638797.69,7086.06,5437568.73,6841174.51
4,869798619.79,121046164.14,34633306.9,122331291.42,473.35,9269250.28,35716244.25
5,1663170039.86,200255173.09,68822709.59,170606048.18,498.05,19532362.03,34049392.94
6,1120978013.29,144510264.39,44375580.1,212978833.44,134.01,30726742.27,31281541.72
7,773371754.85,82749431.95,23813377.86,136414146.92,271.48,6104463.98,20190363.92
8,789287755.18,63667315.96,22789832.45,88707513.0,387.15,5405398.96,15041656.12
9,1148125488.89,112601694.96,35930222.15,99875447.46,861.38,8747823.33,13562909.56
10,716798409.14,155572238.28,117999766.44,43387451.36,474.17,8001067.76,7388368.45
11,1632547465.88,245218193.52,119045612.63,129168410.93,3352.05,21290259.15,18144083.77
12,915963933.06,207473774.31,96467373.94,88271349.36,1109.85,17384153.32,10712325.57
13,1513421266.51,242321395.52,112277387.44,562027429.83,720.97,19761606.63,11005764.55
14,878096915.35,163117794.2,71691165.51,404695851.15,1032.35,15862481.91,10015980.14
15,1629165385.9,269198764.73,90545722.68,877406443.96,3952.79,41553234.57,9319549.91
16,1135256036.03,174789178.94,63578216.42,361634817.91,1856.03,16156188.48,7492603.26
17,634604991.54,256426287.76,57740143.26,165309100.46,3668.41,12145669.26,31284841.35
18,922959468.47,171713343.53,62683272.43,135275562.63,4511.73,12422123.14,25979233.82
19,1010130763.21,157426941.16,108893924.78,203434765.52,4017.53,93968360.41,29287595.29
20,917599923.24,124992568.47,117701637.06,246137619.18,4538.75,31261061.68,20311991.16
21,571121111.0,141724984.0,54642292.94,237178090.81,9094.27,15637626.61,21390803.43
22,541391321.61,225946121.64,77870138.77,114092155.08,3738.86,20275409.23,21388039.1
23,617354329.03,167626773.14,70492845.22,75604482.13,5596.28,25292860.72,19143342.43
24,938345413.24,251898109.93,90392116.91,87834756.56,4955.41,24827598.13,23733914.02
25,539697375.37,164317320.01,48021169.53,135737842.08,4683.04,20858762.58,17831198.41
26,555465146.26,414164352.05,107737051.93,301664725.36,11105.72,30606231.45,15119870.32
27,595710405.8,394452948.4,82185081.57,265161800.14,4595.53,24064579.25,13361558.47
28,718483679.6,301212841.34,158025655.36,168521398.64,5022.97,22171520.3,15220203.42
29,782499976.71,172973289.85,79938117.09,73523501.34,5294.15,11230763.66,3390936.39
30,1025175619.87,319587125.58,142772956.71,162585449.5,1796.12,25793046.5,36932451.4
31,865328615.73,258005286.21,111647453.48,149808661.02,13104.46,63810022.09,33310024.44
32,2418792360.6,619578824.65,283266729.01,262656502.72,9399.59,73288773.49,41887552.21
33,1836210107.31,438013592.75,159892481.32,150181384.27,5551.55,35749407.85,30681545.65
34,1353669597.43,259931075.6,201759858.57,128160246.64,7646.94,31411210.27,22754467.18
35,950474241.58,214732551.78,142658345.14,65529684.57,4397.08,17678347.76,43225605.83
36,1380012064.12,237918665.66,138622765.31,170307885.53,7542.13,28536941.06,37420561.59
37,1057859226.18,189877684.96,107176440.63,91600694.31,13814.27,21652453.14,41289807.11
38,1048839303.8,227246572.43,92720782.62,113943413.18,11566.06,29479195.06,69064180.17
39,2437037791.81,470223347.34,146319763.02,129572220.35,35876.83,46216356.3,68301459.18
40,4510225316.19,416652301.63,165747903.4,156825923.82,135870.99,43961313.33,59402340.63
41,4546014731.58,479837604.63,473760093.71,281476871.56,60318.31,90113337.27,39526763.69
42,2699876215.33,522718280.71,853646807.31,116894421.1,51440.31,39097628.35,39182987.65
43,2904037859.64,307733091.95,361899241.26,103219889.01,22574.85,27890523.48,26372941.65
44,2634267594.52,359245523.6,806672044.43,96857495.59,51760.33,29876877.69,44205898.48
45,2246138895.89,997267993.61,1712426348.74,162733015.51,109576.36,161843160.58,69445612.68
46,2576055941.69,1324617349.11,1198402020.67,194831180.86,286782.69,377803204.21,208583796.48
